 "GAGE No.   14:  K,I,J Coord. =     2,   38,   65;  STREAM SEGMENT =    13;  REACH =     4 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   1.9630389E+03   3.8879808E-02   1.9629609E+03   3.7328416E+03   5.2580112E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   1.9630276E+03   2.7548319E-02   1.9629781E+03   2.1022043E+03   3.3385136E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   1.9630280E+03   2.7903728E-02   1.9629891E+03   2.1475935E+03   2.6166254E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   1.9630460E+03   4.6014570E-02   1.9630292E+03   4.9431113E+03   1.1382202E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   1.9630586E+03   5.8539037E-02   1.9630743E+03   7.3832378E+03  -1.0705389E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   1.9630594E+03   5.9430651E-02   1.9630767E+03   7.5716069E+03  -1.1670754E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   1.9630601E+03   6.0079064E-02   1.9630789E+03   7.7097153E+03  -1.2635412E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   1.9630605E+03   6.0540322E-02   1.9630803E+03   7.8086245E+03  -1.3387478E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   1.9630610E+03   6.1032020E-02   1.9630820E+03   7.9146616E+03  -1.4210265E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   1.9630616E+03   6.1692119E-02   1.9630847E+03   8.0578301E+03  -1.5530180E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   1.9630624E+03   6.2366813E-02   1.9630874E+03   8.2052266E+03  -1.6938511E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.2000000E+01   1.9630614E+03   6.1390013E-02   1.9630863E+03   7.9921440E+03  -1.6838566E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.3000000E+01   1.9630840E+03   8.3993152E-02   1.9631407E+03   1.3476344E+04  -3.8281368E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.4000000E+01   1.9630658E+03   6.5813489E-02   1.9631030E+03   8.9747842E+03  -2.5154118E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.5000000E+01   1.9630731E+03   7.3121786E-02   1.9631183E+03   1.0696558E+04  -3.0502773E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.6000000E+01   1.9630680E+03   6.8044409E-02   1.9631077E+03   9.4875322E+03  -2.6752684E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
