 "GAGE No.    5:  K,I,J Coord. =     2,   40,   76;  STREAM SEGMENT =    16;  REACH =     2 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   1.9330479E+03   4.7803123E-02   1.9330479E+03   5.2673613E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   1.9330896E+03   8.9655980E-02   1.9330896E+03   1.5024436E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   1.9330896E+03   8.9658193E-02   1.9330896E+03   1.5025054E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   1.9330897E+03   8.9663774E-02   1.9330897E+03   1.5026755E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   1.9330897E+03   8.9667685E-02   1.9330897E+03   1.5027838E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   1.9330897E+03   8.9668922E-02   1.9330897E+03   1.5028185E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   1.9330897E+03   8.9671411E-02   1.9330897E+03   1.5028765E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   1.9330897E+03   8.9673139E-02   1.9330897E+03   1.5029250E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   1.9330897E+03   8.9674287E-02   1.9330897E+03   1.5029652E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   1.9330897E+03   8.9675680E-02   1.9330897E+03   1.5030021E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   1.9330897E+03   8.9678429E-02   1.9330897E+03   1.5030774E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.2000000E+01   1.9330897E+03   8.9679658E-02   1.9330897E+03   1.5031088E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.3000000E+01   1.9330897E+03   8.9682758E-02   1.9330897E+03   1.5031854E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.4000000E+01   1.9330897E+03   8.9689426E-02   1.9330897E+03   1.5033754E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.5000000E+01   1.9330897E+03   8.9689218E-02   1.9330897E+03   1.5033716E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.6000000E+01   1.9330897E+03   8.9689888E-02   1.9330897E+03   1.5033889E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
