 "GAGE No.    7:  K,I,J Coord. =     2,   34,   45;  STREAM SEGMENT =    18;  REACH =     1 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   2.0179255E+03   2.5554327E-02   2.0179479E+03   2.7566711E+03  -3.6288246E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   2.0179016E+03   1.5472298E-03   2.0179331E+03   2.5735668E+01  -5.1471172E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   2.0179014E+03   1.3936609E-03   2.0179280E+03   2.1619267E+01  -4.3238335E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   2.0179254E+03   2.5333121E-02   2.0179410E+03   2.7170146E+03  -2.5629610E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   2.0179369E+03   3.6864124E-02   2.0179530E+03   5.0771201E+03  -2.6239807E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   2.0179375E+03   3.7444521E-02   2.0179576E+03   5.2110430E+03  -3.2885540E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   2.0179379E+03   3.7854712E-02   2.0179596E+03   5.3065322E+03  -3.5464542E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   2.0179381E+03   3.8141437E-02   2.0179606E+03   5.3736904E+03  -3.6581055E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   2.0179385E+03   3.8447063E-02   2.0179612E+03   5.4456475E+03  -3.7094597E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   2.0179388E+03   3.8873829E-02   2.0179618E+03   5.5467651E+03  -3.7330173E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   2.0179393E+03   3.9320778E-02   2.0179624E+03   5.6534609E+03  -3.7521339E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.2000000E+01   2.0179398E+03   3.9741591E-02   2.0179629E+03   5.7546592E+03  -3.7719189E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.3000000E+01   2.0179592E+03   5.9174825E-02   2.0179753E+03   1.1173070E+04  -2.6217283E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.4000000E+01   2.0179421E+03   4.2062353E-02   2.0179691E+03   6.3255771E+03  -4.4016052E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.5000000E+01   2.0179485E+03   4.8425633E-02   2.0179709E+03   7.9996270E+03  -3.6651688E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.6000000E+01   2.0179436E+03   4.3594968E-02   2.0179686E+03   6.7143638E+03  -4.0808342E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
