 "GAGE No.   12:  K,I,J Coord. =     2,   36,   55;  STREAM SEGMENT =     6;  REACH =     9 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   1.9760280E+03   2.7911777E-02   1.9760895E+03   3.2985803E+03  -5.8748768E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   1.9760143E+03   1.4294279E-02   1.9761044E+03   1.0813185E+03  -8.6033356E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   1.9760145E+03   1.4470853E-02   1.9761055E+03   1.1036719E+03  -8.6917824E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   1.9760303E+03   3.0319242E-02   1.9761182E+03   3.7862749E+03  -8.3854195E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   1.9760406E+03   4.0592305E-02   1.9761267E+03   6.1577358E+03  -8.2246284E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   1.9760411E+03   4.1157581E-02   1.9761287E+03   6.3013154E+03  -8.3568016E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   1.9760416E+03   4.1571062E-02   1.9761305E+03   6.4071729E+03  -8.4890587E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   1.9760419E+03   4.1865408E-02   1.9761321E+03   6.4829619E+03  -8.6074150E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   1.9760422E+03   4.2176440E-02   1.9761334E+03   6.5634375E+03  -8.7156715E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   1.9760426E+03   4.2612001E-02   1.9761351E+03   6.6767925E+03  -8.8299522E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   1.9760431E+03   4.3067902E-02   1.9761367E+03   6.7962744E+03  -8.9405884E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.2000000E+01   1.9760435E+03   4.3494105E-02   1.9761404E+03   6.9087378E+03  -9.2495377E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.3000000E+01   1.9760616E+03   6.1683532E-02   1.9761586E+03   1.2367919E+04  -9.2492470E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.4000000E+01   1.9760459E+03   4.5900628E-02   1.9761521E+03   7.5575142E+03  -1.0140955E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.5000000E+01   1.9760518E+03   5.1720865E-02   1.9761567E+03   9.2212734E+03  -1.0025915E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.6000000E+01   1.9760474E+03   4.7302689E-02   1.9761547E+03   7.9461670E+03  -1.0254307E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
