 "GAGE No.    9:  K,I,J Coord. =     2,   36,   34;  STREAM SEGMENT =     9;  REACH =     9 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   2.0770037E+03   3.6214001E-03   2.0770361E+03   2.4051311E+02  -2.1914810E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   2.0770056E+03   5.5658850E-03   2.0770601E+03   4.9230768E+02  -3.6722870E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   2.0770059E+03   5.7856631E-03   2.0770625E+03   5.2513123E+02  -3.8233818E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   2.0770059E+03   5.8280136E-03   2.0770632E+03   5.3155322E+02  -3.8721336E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   2.0770061E+03   6.1210091E-03   2.0770640E+03   5.7683502E+02  -3.9048950E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   2.0770066E+03   6.4821979E-03   2.0770645E+03   6.3467316E+02  -3.9184097E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   2.0770066E+03   6.6288174E-03   2.0770649E+03   6.5877667E+02  -3.9429787E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   2.0770066E+03   6.7101512E-03   2.0770654E+03   6.7230341E+02  -3.9659065E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   2.0770068E+03   6.7673950E-03   2.0770659E+03   6.8189111E+02  -3.9920441E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   2.0770068E+03   6.8323221E-03   2.0770664E+03   6.9282922E+02  -4.0281681E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   2.0770068E+03   6.8966658E-03   2.0770671E+03   7.0373755E+02  -4.0661804E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.2000000E+01   2.0770068E+03   6.9546150E-03   2.0770676E+03   7.1362012E+02  -4.1022083E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.3000000E+01   2.0770071E+03   7.1987198E-03   2.0770698E+03   7.5585217E+02  -4.2298111E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.4000000E+01   2.0770073E+03   7.2454982E-03   2.0770703E+03   7.6405603E+02  -4.2620811E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.5000000E+01   2.0770073E+03   7.2389967E-03   2.0770703E+03   7.6291370E+02  -4.2602848E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.6000000E+01   2.0770073E+03   7.2600050E-03   2.0770706E+03   7.6660730E+02  -4.2750565E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
